2025-11-19 10:20:38 | ERROR    | interface.cli_interface:start_new_discussion:427 | 讨论错误: 'ClinicalDiscussionEngine' object has no attribute 'initialize_agents'
2025-11-19 10:32:10 | ERROR    | discussion.discussion_engine:initialize_discussion:114 | 讨论引擎初始化失败: 'str' object has no attribute 'user_id'
2025-11-19 10:32:10 | ERROR    | interface.cli_interface:start_new_discussion:427 | 讨论错误: 'ClinicalDiscussionEngine' object has no attribute 'run_discussion'
2025-11-19 10:44:20 | ERROR    | discussion.discussion_engine:initialize_discussion:119 | 讨论引擎初始化失败: 'dict' object has no attribute 'session_id'
2025-11-19 10:44:20 | ERROR    | interface.cli_interface:start_new_discussion:427 | 讨论错误: ClinicalDiscussionEngine.start_discussion() takes 1 positional argument but 3 were given
2025-11-19 10:54:37 | INFO     | agents.agent_registry:load_builtin_agents:181 | Loaded 19 built-in agents
2025-11-19 10:54:37 | INFO     | agents.agent_registry:load_custom_agents:190 | Loaded 0 custom agents from file
2025-11-19 10:54:37 | DEBUG    | discussion.discussion_engine:_initialize_agents:140 | 智能体 心内科 初始化成功
2025-11-19 10:54:37 | DEBUG    | discussion.discussion_engine:_initialize_agents:140 | 智能体 肾内科 初始化成功
2025-11-19 10:54:37 | DEBUG    | discussion.discussion_engine:_initialize_agents:140 | 智能体 内分泌科 初始化成功
2025-11-19 10:54:37 | DEBUG    | discussion.discussion_engine:_initialize_agents:140 | 智能体 呼吸与危重症医学科 初始化成功
2025-11-19 10:54:37 | INFO     | discussion.discussion_engine:_initialize_agents:144 | 成功初始化 4 个智能体（共选择 4 个）
2025-11-19 10:54:37 | ERROR    | discussion.discussion_engine:initialize_discussion:119 | 讨论引擎初始化失败: 'list' object has no attribute 'info'
2025-11-19 10:54:37 | INFO     | discussion.discussion_engine:start_discussion:175 | 开始多智能体临床讨论
2025-11-19 10:54:37 | INFO     | discussion.discussion_engine:start_discussion:185 | 开始第 1 轮讨论
2025-11-19 10:54:37 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 心内科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:37 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 肾内科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:37 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 内分泌科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:37 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 呼吸与危重症医学科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:38 | INFO     | discussion.discussion_engine:start_discussion:185 | 开始第 2 轮讨论
2025-11-19 10:54:38 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 心内科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:38 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 肾内科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:38 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 内分泌科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:38 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 呼吸与危重症医学科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:39 | INFO     | discussion.discussion_engine:start_discussion:185 | 开始第 3 轮讨论
2025-11-19 10:54:39 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 心内科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:39 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 肾内科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:39 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 内分泌科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:39 | ERROR    | discussion.discussion_engine:_execute_discussion_round:257 | 智能体 呼吸与危重症医学科 发言失败: 'SpecialtyAgent' object has no attribute 'analyze_case'
2025-11-19 10:54:40 | INFO     | discussion.discussion_engine:_generate_final_summary:370 | 生成最终讨论汇总
2025-11-19 10:54:40 | ERROR    | discussion.discussion_engine:_generate_final_summary:400 | 生成最终汇总失败: 'NoneType' object has no attribute 'make_final_decision'
2025-11-19 10:54:40 | INFO     | storage.discussion_storage:save_discussion:73 | 讨论记录已保存: data\discussions\json\user_000001_c735eae6_20251119_105440.json
2025-11-19 11:58:57 | INFO     | auth.session_handler:_cleanup_expired_sessions:350 | 清理过期会话: 01Z7_1fEy1TUPEc5TaKgLjWnBNfDYGccOCL2sEF6_5Q for user: user_000001
2025-11-19 11:58:57 | INFO     | auth.session_handler:_cleanup_expired_sessions:353 | 清理了 1 个过期会话
2025-11-19 12:57:49 | ERROR    | discussion.discussion_engine:initialize_discussion:119 | 讨论引擎初始化失败: 'SpecialtyAgent' object has no attribute 'agent_registry'
2025-11-19 12:57:49 | INFO     | discussion.discussion_engine:start_discussion:175 | 开始多智能体临床讨论
2025-11-19 12:57:49 | INFO     | discussion.discussion_engine:start_discussion:185 | 开始第 1 轮讨论
2025-11-19 12:57:50 | INFO     | discussion.discussion_engine:start_discussion:185 | 开始第 2 轮讨论
2025-11-19 12:57:51 | INFO     | discussion.discussion_engine:start_discussion:185 | 开始第 3 轮讨论
2025-11-19 12:57:52 | INFO     | discussion.discussion_engine:_generate_final_summary:401 | 生成最终讨论汇总
2025-11-19 12:57:52 | ERROR    | discussion.discussion_engine:_generate_final_summary:431 | 生成最终汇总失败: 'NoneType' object has no attribute 'make_final_decision'
2025-11-19 12:57:52 | INFO     | storage.discussion_storage:save_discussion:73 | 讨论记录已保存: data\discussions\json\user_000001_d85ea0f4_20251119_125752.json
2025-11-19 13:28:33 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
